Sample in Buffer,Sample in Window,TRIGGER,hdmi_in_i/hdmi2rgb_0/U0/DataDecoders[0].DecoderX/PhaseAlignX/pState_1[3:0],hdmi_in_i/hdmi2rgb_0/U0/DataDecoders[0].DecoderX/PhaseAlignX/pState[10:5],hdmi_in_i/hdmi2rgb_0/U0/DI[26:0]
0,0,0,0,10,1000000
1,1,0,0,10,1000000
2,2,0,0,10,1000000
3,3,0,0,10,1000000
4,4,0,0,10,1000000
5,5,0,0,10,1000000
6,6,0,0,10,1000000
7,7,0,0,10,1000000
8,8,0,0,10,1000000
9,9,0,0,10,1000000
10,10,0,0,10,1000000
11,11,0,0,10,1000000
12,12,0,0,10,1000000
13,13,0,0,10,1000000
14,14,0,0,10,1000000
15,15,0,0,10,1000000
16,16,0,0,10,1000000
17,17,0,0,10,1000000
18,18,0,0,10,1000000
19,19,0,0,10,1000000
20,20,0,0,10,1000000
21,21,0,0,10,1000000
22,22,0,0,10,1000000
23,23,0,0,10,1000000
24,24,0,0,10,1000000
25,25,0,0,10,1000000
26,26,0,0,10,1000000
27,27,0,0,10,1000000
28,28,0,0,10,1000000
29,29,0,0,10,1000000
30,30,0,0,10,1000000
31,31,0,0,10,1000000
32,32,0,0,10,1000000
33,33,0,0,10,1000000
34,34,0,0,10,1000000
35,35,0,0,10,1000000
36,36,0,0,10,1000000
37,37,0,0,10,1000000
38,38,0,0,10,1000000
39,39,0,0,10,1000000
40,40,0,0,10,1000000
41,41,0,0,10,1000000
42,42,0,0,10,1000000
43,43,0,0,10,1000000
44,44,0,0,10,1000000
45,45,0,0,10,1000000
46,46,0,0,10,1000000
47,47,0,0,10,1000000
48,48,0,0,10,1000000
49,49,0,0,10,1000000
50,50,0,0,10,1000000
51,51,0,0,10,1000000
52,52,0,0,10,1000000
53,53,0,0,10,1000000
54,54,0,0,10,1000000
55,55,0,0,10,1000000
56,56,0,0,10,1000000
57,57,0,0,10,1000000
58,58,0,0,10,1000000
59,59,0,0,10,1000000
60,60,0,0,10,1000000
61,61,0,0,10,1000000
62,62,0,0,10,1000000
63,63,0,0,10,1000000
64,64,0,0,10,1000000
65,65,0,0,10,1000000
66,66,0,0,10,1000000
67,67,0,0,10,1000000
68,68,0,0,10,1000000
69,69,0,0,10,1000000
70,70,0,0,10,1000000
71,71,0,0,10,1000000
72,72,0,0,10,1000000
73,73,0,0,10,1000000
74,74,0,0,10,1000000
75,75,0,0,10,1000000
76,76,0,0,10,1000000
77,77,0,0,10,1000000
78,78,0,0,10,1000000
79,79,0,0,10,1000000
80,80,0,0,10,1000000
81,81,0,0,10,1000000
82,82,0,0,10,1000000
83,83,0,0,10,1000000
84,84,0,0,10,1000000
85,85,0,0,10,1000000
86,86,0,0,10,1000000
87,87,0,0,10,1000000
88,88,0,0,10,1000000
89,89,0,0,10,1000000
90,90,0,0,10,1000000
91,91,0,0,10,1000000
92,92,0,0,10,1000000
93,93,0,0,10,1000000
94,94,0,0,10,1000000
95,95,0,0,10,1000000
96,96,0,0,10,1000000
97,97,0,0,10,1000000
98,98,0,0,10,1000000
99,99,0,0,10,1000000
100,100,0,0,10,1000000
101,101,0,0,10,1000000
102,102,0,0,10,1000000
103,103,0,0,10,1000000
104,104,0,0,10,1000000
105,105,0,0,10,1000000
106,106,0,0,10,1000000
107,107,0,0,10,1000000
108,108,0,0,10,1000000
109,109,0,0,10,1000000
110,110,0,0,10,1000000
111,111,0,0,10,1000000
112,112,0,0,10,1000000
